Dry bulb temperature, Total radiation on surface, Beam radiation on surface, Angle of incidence on surface, Sun zenith angle, Sun azimuth angle, Relative humidity, Wind speed, Effective sky temperature, Ground reflectance, Flap State Code, Indoor Air Temp, Outlet Air Temperature, Wall Temperature
36.92	357.1	357.1	90	89	180	27.37	0	36.92	0.2	2	38.56	30.977	26.266
36.23	344.71	344.71	90	89	180	28.95	0	36.23	0.2	2	38.64	30.928	26.282
35.66	349.04	349.04	90	89	180	29.22	0	35.66	0.2	2	38.71	30.879	26.298
35.17	345.33	345.33	90	89	180	30.2	0	35.17	0.2	2	38.76	30.837	26.318
35.01	346.87	346.87	90	89	180	30.48	0	35.01	0.2	-1	38.82	30.804	26.334
34.41	345.71	345.71	90	89	180	31.59	0	34.41	0.2	-1	38.86	30.81	26.341
34.06	333.28	333.28	90	89	180	30.72	0	34.06	0.2	-1	38.91	30.784	26.351
33.55	328.17	328.17	90	89	180	31.59	0	33.55	0.2	-1	38.95	30.758	26.361
32.96	325.84	325.84	90	89	180	32.19	0	32.96	0.2	-1	39.0	30.741	26.367
32.53	324.5	324.5	90	89	180	32.95	0	32.53	0.2	-1	39.02	30.715	26.367
32.17	322.9	322.9	90	89	180	34.13	0	32.17	0.2	-1	39.03	30.683	26.367
31.74	321.12	321.12	90	89	180	34.23	0	31.74	0.2	-1	39.05	30.646	26.367
31.38	323.05	323.05	90	89	180	34.74	0	31.38	0.2	-1	39.05	30.604	26.367
31.19	324.61	324.61	90	89	180	35.0	0	31.19	0.2	-1	39.05	30.578	26.361
31.07	327.36	327.36	90	89	180	34.94	0	31.07	0.2	-1	39.04	30.535	26.361
30.92	328.92	328.92	90	89	180	34.87	0	30.92	0.2	-1	39.01	30.492	26.341
30.62	324.56	324.56	90	89	180	35.73	0	30.62	0.2	2	38.98	30.456	26.334
30.48	326.87	326.87	90	89	180	36.24	0	30.48	0.2	2	38.64	30.332	26.318
30.37	329.07	329.07	90	89	180	36.29	0	30.37	0.2	2	38.17	30.289	26.298
30.2	326.68	326.68	90	89	180	36.86	0	30.2	0.2	2	38.16	30.24	26.275
30.13	327.25	327.25	90	89	180	37.29	0	30.13	0.2	2	37.91	30.188	26.249
29.89	330.44	330.44	90	89	180	37.93	0	29.89	0.2	2	37.95	30.139	26.216
29.88	326.66	326.66	90	89	180	37.4	0	29.88	0.2	2	37.82	30.086	26.19
29.67	329.75	329.75	90	89	180	37.19	0	29.67	0.2	2	37.7	30.034	26.148
29.21	331.93	331.93	90	89	180	37.34	0	29.21	0.2	2	37.35	29.975	26.121
29.14	327.0	327.0	90	89	180	37.4	0	29.14	0.2	2	37.44	29.922	26.079
28.94	326.57	326.57	90	89	180	37.83	0	28.94	0.2	2	37.32	29.87	26.046
28.87	321.34	321.34	90	89	180	37.91	0	28.87	0.2	2	37.19	29.821	26.01
28.62	323.0	323.0	90	89	180	39.22	0	28.62	0.2	-1	37.06	29.778	25.967
27.82	320.97	320.97	90	89	180	40.06	0	27.82	0.2	-1	37.2	29.844	25.944
27.92	321.38	321.38	90	89	180	39.67	0	27.92	0.2	-1	37.24	29.821	25.908
27.86	323.0	323.0	90	89	180	40.07	0	27.86	0.2	-1	37.24	29.801	25.876
27.72	321.98	321.98	90	89	180	40.6	0	27.72	0.2	-1	37.24	29.785	25.849
27.75	320.95	320.95	90	89	180	41.3	0	27.75	0.2	-1	37.2	29.762	25.817
27.57	319.18	319.18	90	89	180	41.44	0	27.57	0.2	-1	37.17	29.726	25.79
27.08	323.22	323.22	90	89	180	42.57	0	27.08	0.2	-1	37.13	29.693	25.758
27.09	322.45	322.45	90	89	180	42.77	0	27.09	0.2	-1	37.07	29.66	25.722
26.79	323.41	323.41	90	89	180	43.51	0	26.79	0.2	-1	37.01	29.627	25.695
26.64	325.84	325.84	90	89	180	43.85	0	26.64	0.2	-1	36.88	29.591	25.663
26.49	321.53	321.53	90	89	180	44.71	0	26.49	0.2	-1	36.88	29.559	25.63
26.48	321.06	321.06	90	89	180	44.4	0	26.48	0.2	1	36.8	29.526	25.594
